,$,フリガナ,フリガナ2,属性ラベル,,,Word,フリガナ,フリガナ2,属性ラベル
,ピーケーオー,ピーケーオー,,その他,,,J-Startup,ジェイスタトアップ,ジェースタートアップ,その他
,ツルハ,ツルハ,,組織名,,,Pマーク,ピーマーク,,その他
,生協,セイキョウ,セイキョー,組織名,,,Gmail,ジーメール,ジーメイル,製品名
,大和ハウスフィナンシャル,ダイワハウスフィナンシャル,,組織名,,,Meet,ミート,,製品名
,Lazuli,ラズリ,,組織名,,,Invite,インバイト,,製品名
,ドイツ,ドイツ,,地名,,,サブ階層,サブカイソ―,サブカイソウ,その他
,MEDICA,メディカ,,その他,,,メッシ,メッシ,,人名
,GigaCC,ギガシーシー,,製品名,,,チームラボ,チームラボ,,組織名
,小田原緑化,オダワラリョッカ,,組織名,,,LP,エルピー,エルピイ,その他
,アイシニアケア,アイシニアケア,,製品名,,,Our Leadership,アワリーダーシップ,,その他
,ウィークリー,ウィークリー,,その他,,,はずむさん,ハズムサン,,人名
,なりきよ,ナリキヨ,,組織名,,,About us,アバウトアス,アバ―トアス,その他
,Spring boot,スプリングブート,,その他,,,下層,カソ―,カソウ,その他
,信託SO,シンタクストックオプション,シンタクエスオー,その他,,,Our Culture,アワカルチャー,,その他
,デット,デット,,その他,,,チームジオグラフィー,チームジオグラフィー,,その他
,エクイティ,エクイティ,,その他,,,アクチュアルデータ,アクチュアルデータ,,その他
,アジャイル,アジャイル,,その他,,,NTTドコモ,エヌティティドコモ,エヌティーティードコモ,組織名
,スクラム開発,スクラムカイハツ,,その他,,,1on1,ワンオンワン,,その他
,Java Script,ジャバスクリプト,,その他,,,村田製作所,ムラタセイサクジョ,,組織名
,Type Script,タイプスクリプト,,その他,,,toC,ティオーシー,トゥービー,その他
,ロードマップ,ロードマップ,,その他,,,BeSTA FinTech Base,ベスタフィンテックベース,,その他
,浜銀,ハマギン,,組織名,,,パルスサーベイ,パルスサーベイ,,その他
,静銀,シズギン,,組織名,,,エシカル,エシカル,,その他
,B/S,ビーエス,,その他,,,リライト,リライト,,その他
,Ansible,アンシブル,,その他,,,Members from all over,メンバーズフロムオールオーバー,,その他
,グリーンコンクリート,グリーンコンクリート,,組織名,,,Chatwork,チャットワーク,,製品名
,シェルスクリプト,シェルスクリプト,,その他,,,BeSTA FinTech lab,ベスタフィンテックラボ,,その他
,ミドルウェア,ミドルウェア,,その他,,,API,エーピーアイ,,その他
,ヒスコム,ヒスコム,,組織名,,,CRM,シーアールエム,,その他
,SBテクノロジー,エスビーテクノロジー,,組織名,,,HubSpot ,ハブスポット,,製品名
,office365,オフィスサンロクゴ,,その他,,,MRR,エムアールアール,,その他
,PL,ピーエル,,その他,,,SaaS,サース,サーズ,その他
,レバテック,レバテック,,組織名,,,ソフトバンク,ソフトバンク,,組織名
,ORPHE,オルファ,オルファ―,組織名,,,EVG,イーブイジー,,製品名
,アコム,アコム,,組織名,,,名畑さん,ナハタサン,,人名
,ヒッサン,ヒッサン,,組織名,,,寺尾さん,テラオサン,,人名
,Bluetooth,ブルートゥース,,その他,,,長田さん,オサダサン,ナガタサン,人名
,IPO,アイピーオー,,その他,,,Dialpad,ダイヤルパッド,,製品名
,ニソール,ニソール,,組織名,,,NDA,エヌディエー,,その他
,マイルストーン,マイルストーン,,その他,,,名古屋,ナゴヤ,,地名
,リボルブ・シス,リボルブシス,,組織名,,,アドバンスト・メディア,アドバンスト・メディア,,組織名
,スズケン,スズケン,,組織名,,,第一三共,ダイイチサンキョウ,,組織名
,和光商会,ワコーショーカイ,,組織名,,,SB C&S,ソフトバンクシーアンドエス,,組織名
,MINAMI,ミナミ,,組織名,,,CS,シーエス,,その他
,キタムラK2,キタムラケイツー,,組織名,,,BPO,ビーピーオー,,その他
,アイロベックス,アイロベックス,,組織名,,,Verint,ベリント,,その他
,Cisco,シスコ,,組織名,,,ベルフェイス,ベルフェイス,,組織名
,RP,アールピー,,その他,,,CTA,シーティエー,,その他
,UXD,ユーエックスディー,,その他,,,Google,グーグル,,組織名
,パートナリング,パートナリング,,その他,,,アナリティクス,アナリティクス,,その他
,ビジネスイノベーション本部,ビジネスイノベーションホンブ,,組織名,,,デルフィス,デルフィス,,組織名
,M365,エムサンロクゴ,,その他,,,SmartHR,スマートエイチアール,,製品名
,Box,ボックス,,その他,,,クロスアカデミー,クロスアカデミー,,組織名
,HDDIS,エイチディーディズ,,その他,,,googleアシスタント,グーグルアシスタント,,組織名
,ヴァルトジャパン,ヴァルトジャパン,,組織名,,,アメリカ,アメリカ,,地名
,エスプール,エスプール,,組織名,,,日本,二ホン,ニッポン,地名
,フレコンバッグ,フレコンバッグ,,製品名,,,GPC,ジーピーシー,,その他
,WS5,ダブリューエスゴ,,その他,,,Speech API,スピーチ　エーピーアイ,,その他
,Instagram ,インスタグラム,,その他,,,NewsPicks,ニューズピックス,,組織名
,雛形,ヒナガタ,,その他,,,ユーザーベース,ユーザーベース,,組織名
,ストーリーズ,ストーリーズ,,その他,,,みえき,ミエキ,,人名
,コークス,コークス,,その他,,,プライバシーポリシー,プライバシーポリシー,,その他
,水ing,スイング,,組織名,,,Terms and condition,タームズアンドコンディション,,その他
,活性炭,カッセイタン,,製品名,,,踏襲,トウシュウ,トウシュー,その他
,CI/CD,シーアイシーディー,シーアイスラッシュシーディー,その他,,,情報セキュリティ基本方針,ジョウホウセキュリティーキホンホウシン,ジョーホーセキュリティーキホンホーシン,その他
,WeWork,ウィーワーク,,組織名,,,保護方針,ホゴホーシン,ホゴホウシン,その他
,アシダカ軍曹,アシダカグンソウ,,その他,,,こまい,コマイ,,その他
,セアカゴケグモ,セアカゴケグモ,,その他,,,RevComm,レブコム,,組織名
,インサイト,インサイト,,その他,,,利用規約,リヨウキヤク,リヨーキヤク,その他
,ShopNow,ショップナウ,,その他,,,個人情報の取り扱い方針,コジンジョウホウノトリアツカイホウシン,コジンジョーホーノトリアツカイホーシン,その他
,ORPHE TRACK,オルフェトラック,,製品名,,,必要十分事項,ヒツヨウジュウブンジコウ,ヒツヨージューブンジコー,その他
,Meta,メタ,,組織名,,,WEB API,ウェブエイピイアイ,ウェブエーピーアイ,製品名
,コムズ,コムズ,,組織名,,,Can't share you screen,キャントシェアーユアスクリーン,,その他
,アイネス,アイネス,,組織名,,,SDK,エスディーケイ,エスディケー,その他
,Lステップ,エルステップ,,製品名,,,スマートシティ,スマートシティ,,その他
,Forkwell,フォークウェル,,製品名,,,梅澤,ウメザワ,,人名
,Plug and Play,プラグアンドプレイ,,その他,,,コロナ禍,コロナカ,,その他
,INEST,アエネスト,,組織名,,,ウェルビーイング,ウェルビーイング,,その他
,FA,エフエー,,その他,,,NTTコムウェア,エヌ・ティ・ティ・コムウェア,エヌティティコムウェア,組織名
,ユートラスト,ユートラスト,,組織名,,,エモーティブスペース,エモーティブスペース,,その他
,PdM,ピーディーエム,,その他,,,ビバ・テクノロジー,ビバテクノロジー,,その他
,HERP,ハープ,,その他,,,LINE,ライン,,組織名
,SLACK,スラック,,その他,,,Sony,ソニー,,組織名
,HCI,エイチシーアイ,,その他,,,LinkedIn,リンクトイン,,組織名
,実世界インターフェース,ジッセカイインターフェース,,その他,,,Xperia,エクスペリア,,製品名
,IOSエンジニア,アイオーエスエンジニア,,その他,,,フィリップス,フィリップス,,組織名
,ノマドワーカー,ノマドワーカー,,その他,,,プロパー,プロパー,,その他
,キャプチャー,キャプチャー,,その他,,,C&S,シーアンドエス,,組織名
,React.js,リアクトジェイエス,,その他,,,NTTDOCOMO,エヌ・ティ・ティ・ドコモ,,組織名
,React,リアクト,,その他,,,テレカン,テレカン,,その他
,Prazto,プラート,,組織名,,,バイセルさん,バイセルサン,,組織名
,LINE Camera,ラインカメラ,,その他,,,ステッキワン,ステッキワン,,製品名
,HTTPS,エイチティティピーエス,,その他,,,サービスクラウドボイス,サービスクラウドボイス,,製品名
,Swift,スイフト,,その他,,,AppExchange,アップエクスチェンジ,,製品名
,Kotlin,コトリン,,その他,,,Nemesysco,ネメシスコ,,製品名
,Repost,リポスト,,その他,,,CAC,シーエーシー,,組織名
,Reels,リール,,その他,,,AmiVoice,アミボイス,,製品名
,メンション,メンション,,その他,,,市倉,イチクラ,,人名
,ビズリーチ,ビズリーチ,,組織名,,,北里大学,キタサトダイガク,,組織名
,One to One,ワントゥーワン,,その他,,,Smart World,スマートワールド,,その他
,TSV,ティーエスブイ,,その他,,,Society 5.0,ソサエティー5.0,,その他
,EC,イーシー,,その他,,,デジタルトランスフォーメーション,デジタルトランスフォーメーション,,その他
,JAN,ジャン,,その他,,,Amazon Connect,アマゾンコネクト,,製品名
,タレントプール,タレントプール,,その他,,,CTI,シーティアイ,,その他
,UXD,ユーエックス,,その他,,,ComDesign,コムデザイン,,組織名
,ラクラス,ラクラス,,組織名,,,丸紅,マルベニ,,組織名
,カインズ,カインズ,,組織名,,,AVAYA,アバイア,,組織名
,トゥルーデータ,トゥルーデータ,,組織名,,,TMJ,ティエムジェイ,ティエムジェー,組織名
,ハピネット,ハピネット,,組織名,,,MP3,エムピースリー,,その他
,あみあみ,アミアミ,,その他,,,PBX,ピービーエックス,,その他
,ホビーリンク・ジャパン,ホビーリンク・ジャパン,,組織名,,,IE,アイイー,,その他
,リテール,リテール,,その他,,,Internet Explorer,インターネットエクスプローラー,,製品名
,ホビーサーチ,ホビーサーチ,,その他,,,アテノシーアウトバウンド2.0,アテノシーアウトバウンド2.0,,製品名
,インダストリークラウド,インダストリークラウド,,その他,,,MiiTel,ミーテル,,製品名
,kukuru,ククル,,組織名,,,丸紅情報システムズ,マルベニジョウホウシステムズ,,組織名
,NB,エヌビー,,その他,,,PMF,ピーエムエフ,,その他
,トラスコ,トラスコ,,組織名,,,LTV,エルティーヴィ,エルティブイ,その他
,Terraform,テラフォーム,,製品名,,,SlideShare,スライドシェア,スライドシェア―,製品名
,SKU,エスケーユー,,その他,,,ウィンドウスクリーン,ウィンドウスクリーン,ウィンドースクリーン,その他
,シソンヌ,シソンヌ,,人名,,,LegalForce,リーガルフォース,,組織名
,オレンジブック,オレンジブック,,その他,,,デック,デック,,その他
,charm,チャーム,,その他,,,CS測定,シーエスソクテイ,,その他
,イーアールピー,イーアールピー,,その他,,,長谷,ナガヤ,,人名
,BTP,ビーティーピー,,その他,,,eneloop,エネループ,,製品名
,ビジネステクノロジープラットフォーム,ビジネステクノロジープラットフォーム,,その他,,,NextGen,ネクストジェン,,組織名
,アバップフォー,アバップフォー,,その他,,,PoC,ピーオーシー,,その他
,ユースケース,ユースケース,,その他,,,SV,エスブイ,,その他
,コープデリ,コープデリ,,組織名,,,N-com,エヌコム,,組織名
,カインズ,カインズ,,組織名,,,ASR,エーエスアール,,その他
,U.S.M.H,ユーエスエムエイチ,,組織名,,,NLP,エヌエルピー,,その他
,バングラデシュ,バングラデシュ,バングラ,組織名,,,ML,エムエル,,その他
,ポンパレモール,ポンパレモール,,組織名,,,MLエンジニア,エムエルエンジニア,,その他
,ECJOY!,イーシージョイ,,組織名,,,バークレー,バークレー,,組織名
,あきばお〜,あきばお〜,,組織名,,,Apple,アップル,,組織名
,コスゲ,コスゲ,,組織名,,,Indeed,インディード,,組織名
,トラスコ中山,トラスコナカヤマ,,組織名,,,ph.D,ピーエイチディー,,その他
,メイトー,メイトー,,製品名,,,東大,トウダイ,,組織名
,アルファパーチェス,アルファパーチェス,,組織名,,,フルスタック,フルスタック,,その他
,ハピネット,ハピネット,,組織名,,,ヘッドマウントディスプレイ,,ヘッドマウントディスプレイ,製品名
,シー・シー・ピー,シー・シー・ピー,,組織名,,,Alexa,アレクサ,,その他
,丸ノ内線,マルノウチセン,,その他,,,トルコ,トルコ,,地名
,丸の内,丸の内,,地名,,,ツチノコ,ツチノコ,,その他
,CA,シーエー,,その他,,,柴尾,シバオ,,
,SaaS,サース,,その他,,,KPI,ケーピーアイ,,その他
,COGS,コグス,,その他,,,オプテーザー,オプテーザー,,その他
,SFP,エスエフピー,,組織名,,,EVGバッチ,イーブイジーバッチ,,その他
,G&A,ジーアンドエー,,その他,,,OPTAGE,オプテージ,,組織名
,GCP,ジーシーピー,,その他,,,エッジ,エッジ,,組織名
,クエリ,クエリ,,その他,,,Pardot,パードット,,製品名
,Manegeboard,マネーボード,,その他,,,ヤクルト,ヤクルト,,製品名
,成城石井,セイジョウイシイ,セイジョーイシイ,組織名,,,R-1,アールワン,,製品名
,S&M,エスアンドエム,,その他,,,おかめ納豆,オカメナットウ,,製品名
,横浜,ヨコハマ,,地名,,,PC,ピーシー,,その他
,ソニーマーケティング,ソニーマーケティング,,組織名,,,UIX,ユーアイエックス,,その他
,ローソン,ローソン,,組織名,,,chrome,クローム,,製品名
,西友,セイユウ,セ―ユー,組織名,,,ダイヤル・サービス,ダイヤルサービス,,組織名
,PDP,ピーディーピー,,その他,,,みなとくん,ミナトクン,,人名
,ウォルマート,ウォルマート,,組織名,,,かえでくん,カエデクン,,人名
,ベイシア,ベイシア,,組織名,,,Amazon,アマゾン,,その他
,ジョーシス,ジョーシス,,その他,,,女子学院,ジョシガクイン,,組織名
,イオントップバリュ,イオントップバリュ,,組織名,,,BuySell Technologies,バイセルテクノロジーズ,,組織名
,ビックサイト,ビックサイト,,地名,,,けいすけくん,ケイスケクン,,人名
,CEO,シーイーオー,,その他,,,坂上忍,サカガミシノブ,,人名
,レコメンダ―,レコメンダ―,,その他,,,CM,シーエム,,その他
,トレタ,トレタ,,組織名,,,ms,ミリセック,,その他
,アサヒ飲料,アサヒインリョウ,アサヒインリョー,組織名,,,えもりさん,エモリサン,,人名
,pixiv,ピクシブ,,その他,,,CLINIC FOR,クリニックフォア,,組織名
,カタリナ,カタリナ,,その他,,,URL,ユーアールエル,,その他
,関東ITソフトウェア健康保険組合,カントウアイティーソフトウェアケンコウホケンクミアイ,,組織名,,,２Q,ニキュウ,ニキュー,その他
,SMB,エスエムビー,,その他,,,３Q,サンキュウ,サンキュー,その他
,CSVファイル,シーエスブイファイル,,その他,,,U³ COGNI,ユーキューブコグニ,,製品名
,ヤオコー,ヤオコー,,組織名,,,BIA,ビーアイエー,,その他
,Wantedly,ウォンテッドリー,,その他,,,中川,なかがわ,,人名
,Findy,ファインディ,,組織名,,,尾崎,オザキ,,人名
,行幸通り,ギョーコードーリ,ギョウコウドオリ,その他,,,トヨタファイナンス,トヨタファイナンス,,組織名
,ちむどんどん,チムドンドン,,その他,,,クラウドCTI,クラウドシーティーアイ,,製品名
,Tech TIPS,テックティップス,,その他,,,日本アバイア株式会社,ニホンアバイアカブシキガイシャ,,組織名
,下北,シモキタ,,地名,,,Agent MAP,エージェントマップ,,製品名
,CPO,シーピーオー,,その他,,,マウス,マウス,,組織名
,レッドオーシャン,レッドオーシャン,,その他,,,コンタクトセンター,コンタクトセンター,,その他
,ゆるりと,ユルリト,,組織名,,,QA,キューエー,キュウエエ,その他
,WordPress,ワードプレス,,その他,,,福士,フクシ,,人名
,三菱,ミツビシ,,組織名,,,はまや,ハマヤ,,人名
,三井物産,ミツイブッサン,,組織名,,,本田,ホンダ,,人名
,ハルモニア,ハルモニア,,組織名,,,長崎,ナガサキ,,人名
,ハコブ,ハコブ,,組織名,,,しばお,シバオ,,人名
,ピリカ,ピリカ,,組織名,,,ビジコンテスト,ビジコンテスト,,その他
,アダコテック,アダコテック,,組織名,,,ATT,エーティティ,,その他
,React　Native,リアクトネイティブ,,その他,,,THETA,シータ,,製品名
,All Visional,オールビジョナル,,その他,,,MELON,メロン,,製品名
,RoomClip,ルームクリップ,,その他,,,KOTOBAL,コトバル,,製品名
,インデックス,インデックス,,組織名,,,川崎,カワサキ,,人名
,TECH PLAY,テックプレイ,,その他,,,小笠原,オガサワラ,,人名
,LITERA,リテラ,,その他,,,鈴木,スズキ,,人名
,ID-POS,アイディーポス,,その他,,,Discord,ディスコード,,製品名
,ゼンダ,ゼンダ,,組織名,,,JSON,ジェイソン,,その他
,レイタンス,レイタンス,,その他,,,Qiita,キータ,,その他
,インダストリーコクリエーション,インダストリーコクリエーション,,組織名,,,PBS,ピービーエス,,その他
,,,,,,,KONICA MINOLTA,コニカミノルタ,,その他
,,,,,,,戸田,トダ,,人名
,,,,,,,大沢,オオサワ,,人名
,,,,,,,ドラック＆ドロップ,ドラックアンドドロップ,,その他
,,,,,,,浜谷,ハマヤ,,人名
,,,,,,,IVR,アイブイアール,,その他
,,,,,,,Genesys ,ジェネシス,,組織名
,,,,,,,Genesys Cloud,ジェネシスクラウド,,製品名
,,,,,,,PureCloud,ピュアクラウド,,製品名
,,,,,,,HELIX,ヒリックス,,その他
,,,,,,,グローバルタンク,グローバルタンク,,組織名
,,,,,,,クンクンボディ,クンクンボディ,,製品名
,,,,,,,前田,マエダ,,人名
,,,,,,,閉域網,ヘイエキモウ,,その他
,,,,,,,VDI,ブイディアイ,,その他
,,,,,,,りゅう,リュウ,,人名
,,,,,,,株式会社SmartMeeting,カブシキガイシャスマートミーティング,,組織名
,,,,,,,斉藤,サイトウ,,人名
,,,,,,,Googleドキュメント,グーグルドキュメント,,その他
,,,,,,,なかたか,ナカタカ,,人名
,,,,,,,コンバージャー,コンバージャー,,製品名
,,,,,,,SANA,サナ,,製品名
,,,,,,,Asana,アサナ,,製品名
,,,,,,,G Suite,ジースイート,,製品名
,,,,,,,ToDo,トゥドゥ,,その他
,,,,,,,コールリーズン,コールリーズン,,その他
,,,,,,,VextCloud,ベクストクラウド,,製品名
,,,,,,,かどた,カドタ,,人名
,,,,,,,仁科,ニシナ,,人名
,,,,,,,東急ハンズ,トウキュウハンズ,,組織名
,,,,,,,カオナビ,カオナビ,,製品名
,,,,,,,タレントパレット,タレントパレット,,製品名
,,,,,,,WebRTC,ウェブアールシーティ,ウェブアールシーティー,その他
,,,,,,,スピンシェル,スピンシェル,,組織名
,,,,,,,原,ハラ,,人名
,,,,,,,中田,ナカタ,,人名
,,,,,,,飯田,イイダ,,人名
,,,,,,,Peer to Peer,ピアトゥピア ,ピアツーピア,その他
,,,,,,,東京リージョン,トウキョウリージョン,,その他
,,,,,,,BtoB,ビートゥービー,,その他
,,,,,,,CYDAS,サイダス,,製品名
,,,,,,,スワロフスキー,スワロフスキー,,組織名
,,,,,,,山田,ヤマダ,,人名
,,,,,,,堀,ホリ,,人名
,,,,,,,金城,キンジョウ,,人名
,,,,,,,おぜみ,オゼミ,,人名
,,,,,,,鎌田,カマダ,,人名
,,,,,,,松本,マツモト,,人名
,,,,,,,高橋,タカハシ,,人名
,,,,,,,安田,ヤスダ,,人名
,,,,,,,持田,モチダ,,人名
,,,,,,,こう,コウ,,人名
,,,,,,,おだらき,オダラキ,,人名
,,,,,,,河合,カワイ,,人名
,,,,,,,LRM,エルアールエム,,組織名
,,,,,,,eラーニング,イーラーニング,,人名
,,,,,,,西,にし,,人名
,,,,,,,テンソルフロー,テンソルフロー,,その他
,,,,,,,クロースアクセラレータ,クロースアクセラレータ,,その他
,,,,,,,デリダ,デリダ,,人名
,,,,,,,ワイズリー,ワイズリー,,人名
,,,,,,,Notion,ノーション,,製品名
,,,,,,,はてなブログ,ハテナブログ,,製品名
,,,,,,,WeTransfer,ウィートランスファー,,製品名
,,,,,,,zip,ジップ,,人名
,,,,,,,Seculio,セキュリオ,,製品名
,,,,,,,こうき,コウキ,,人名
,,,,,,,スプレッドシート,スプレッドシート,,製品名
,,,,,,,Sonia Cube,ソニアキューブ,,組織名
,,,,,,,鳴海,ナルミ,,人名
,,,,,,,Figma,フィグマ,,製品名
,,,,,,,ビーウィズ,ビーウィズ,,組織名
,,,,,,,プロディライト,プロディライト,,組織名
,,,,,,,Co-CEO,コーシーイーオー,,人名
,,,,,,,ダイアン・サービス,ダイアンサービス,,組織名
,,,,,,,アウェル,アウェル,,組織名
,,,,,,,クオリード,クオリード,,組織名
,,,,,,,ラシック,ラシック,,組織名
,,,,,,,グッドパック,グッドパック,,組織名
,,,,,,,スマート相談室,スマートソウダンシツ,,組織名
,,,,,,,ヤマップ,ヤマップ,,その他
,,,,,,,エリック,エリック,,人名
,,,,,,,加藤,カトウ,,人名
,,,,,,,川上,カワカミ,,人名
,,,,,,,TBS,ティービーエス,,組織名
,,,,,,,FMララジオ,エフエムラジオ,,組織名
,,,,,,,リングイスト,リングイスト,,その他
,,,,,,,Cシャープ,シーシャープ,,その他
,,,,,,,タイプスクリプト,タイプスクリプト,,その他
,,,,,,,アノテーションツール,アノテーションツール,,その他
,,,,,,,U-NEXT,ユーネクスト,,組織名
,,,,,,,QUOカード,クオカード,,組織名
,,,,,,,イスラエル,イスラエル,,地名
,,,,,,,ログイット,ログイット,,組織名
,,,,,,,ISQL,アイエスキューエル,,その他
,,,,,,,MySQL,マイエスキューエル,,製品名
,,,,,,,DB,ディービー,デービー,その他
,,,,,,,コギット,コギット,,組織名
